County,,POP_2020,POP_2021,POP_2022,College ED. (1980),College ED. (1990),College ED. (2000),College ED. (2010),College ED. (2020),Number of Beds
PA,,,,,,,,,,
Seneca County,,55051,54954,54632,6.4,9.2,12.5,15.7,17.9,45
Shelby County,,48138,48030,47671,5.7,8.5,12.8,13.8,19.1,61
Stark County,,374486,373659,372657,7.1,11.3,17.9,20.7,23.6,792
Summit County,,539792,537247,535882,10.5,15.5,25.1,29.4,33.9,1125
Trumbull County,,201672,201444,200643,6.5,10,14.5,16.4,19.3,329
Tuscarawas County,,93183,92608,91937,4.6,7.8,12.2,14.7,18.4,128
Union County,,63089,65110,66898,6.7,10.3,15.9,27.8,37.8,60
Van Wert County,,28919,28776,28769,5.4,7.5,12,15,16.7,61
Vinton County,,12804,12707,12565,4.5,5.5,6,7.9,13.1,0
Warren County,,243201,246822,249778,5.9,11.3,28.4,36.9,44.1,217
Washington County,,59644,59459,58901,7.8,11.4,15,15.9,19.8,188
Wayne County,,116906,116129,116559,8.7,12.6,17.2,19.4,23.4,104
Williams County,,37077,36743,36652,6.3,8.3,10.7,12.9,14.6,75
Wood County,,132248,130331,131592,11.3,18.6,26.2,29.4,36.3,103
Wyandot County,,21861,21704,21567,4.2,8.7,9.8,13.2,19.4,0
